,columns,descricao
0,unnamed:_0,
1,unnamed:_1,
2,unnamed:_2,
3,unnamed:_3,
4,unnamed:_4,
5,unnamed:_5,
6,unnamed:_6,
7,unnamed:_7,
8,unnamed:_8,
9,unnamed:_9,
10,unnamed:_10,
11,unnamed:_11,
12,unnamed:_12,
13,unnamed:_13,
14,unnamed:_14,
15,unnamed:_15,
16,unnamed:_16,
17,unnamed:_17,
18,unnamed:_18,
19,0.9283357777777778,
20,215l_4,
21,0.9283357495906134,
22,215l_3,
23,0.9283363157894737,
24,20uq_4,
25,0.9283356845856846,
26,20v6_3,
