,processo,proponente,contrato,nota_de_empenho,valor_empenhado,valor_pago,saldo_do_empenho,consumo_%,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,tipo,prop_pk1,prop_pk2
38,53115.007127/2021-61,FLAVIA ARRUDA,WifiBrasil,2021NE000168,368544.0,0.0,368544.0,0.0,,,,,,,,,,,,,Em. Individual,,
39,53115.007128/2021-14,FLAVIANO MELO,GESAC,2021NE000097,66000.0,0.0,66000.0,0.0,,,,,,,,,,,,,Em. Individual,,
40,53115.007128/2021-14,FLAVIANO MELO,GESAC,2021NE000189,561190.0,0.0,561190.0,0.0,,,,,,,,,,,,,Em. Individual,,
41,53115.007129/2021-51,GENERAL GIRAO,GESAC,2021NE000139,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
42,53115.007129/2021-51,GENERAL GIRAO,WifiBrasil,2021NE000140,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
43,53115.007135/2021-16,JOAO ROMA,GESAC,2021NE000096,590000.0,0.0,590000.0,0.0,,,,,,,,,,,,,Em. Individual,,
44,53115.007135/2021-16,JOAO ROMA,GESAC,2021NE000120,439986.0,0.0,439986.0,0.0,,,,,,,,,,,,,Em. Individual,,
45,53115.007137/2021-05,JOENIA WAPICHANA,GESAC,2021NE000087,440000.0,0.0,440000.0,0.0,,,,,,,,,,,,,Em. Individual,,
46,53115.007138/2021-41,JOSE MEDEIROS,GESAC,2021NE000099,390000.0,0.0,390000.0,0.0,,,,,,,,,,,,,Em. Individual,,
47,53115.007138/2021-41,JOSE MEDEIROS,GESAC,2021NE000124,269340.0,0.0,269340.0,0.0,,,,,,,,,,,,,Em. Individual,,
48,53115.007140/2021-11,JOSE NUNES,GESAC,2021NE000181,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
49,53115.007140/2021-11,JOSE NUNES,WifiBrasil,2021NE000182,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
50,53115.007143/2021-54,JOSIVALDO JP,GESAC,2021NE000128,102000.0,0.0,102000.0,0.0,,,,,,,,,,,,,Em. Individual,,
51,53115.007143/2021-54,JOSIVALDO JP,WifiBrasil,2021NE000129,48000.0,0.0,48000.0,0.0,,,,,,,,,,,,,Em. Individual,,
52,53115.007148/2021-87,JUNIOR LOURENCO,GESAC,2021NE000177,345000.0,0.0,345000.0,0.0,,,,,,,,,,,,,Em. Individual,,
53,53115.007148/2021-87,JUNIOR LOURENCO,WifiBrasil,2021NE000178,155000.0,0.0,155000.0,0.0,,,,,,,,,,,,,Em. Individual,,
54,53115.007150/2021-56,LEO DE BRITO,GESAC,2021NE000179,430000.0,0.0,430000.0,0.0,,,,,,,,,,,,,Em. Individual,,
55,53115.007150/2021-56,LEO DE BRITO,WifiBrasil,2021NE000180,170000.0,0.0,170000.0,0.0,,,,,,,,,,,,,Em. Individual,,
56,53115.023142/2021-57,LEUR LOMANTO,GESAC,2021NE000098,72000.0,0.0,72000.0,0.0,,,,,,,,,,,,,Em. Individual,,
57,53115.023142/2021-57,LEUR LOMANTO,WifiBrasil,2021NE000100,28000.0,0.0,28000.0,0.0,,,,,,,,,,,,,Em. Individual,,
58,53115.007159/2021-67,LUCIANO BIVAR,GESAC,2021NE000118,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
59,53115.007159/2021-67,LUCIANO BIVAR,WifiBrasil,2021NE000199,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
60,53115.007161/2021-36,LUIS TIBE,GESAC,2021NE000169,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
61,53115.007161/2021-36,LUIS TIBE,WifiBrasil,2021NE000170,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
62,53115.007162/2021-81,MARA ROCHA,GESAC,2021NE000115,430000.0,0.0,430000.0,0.0,,,,,,,,,,,,,Em. Individual,,
63,53115.007162/2021-81,MARA ROCHA,WifiBrasil,2021NE000116,170000.0,0.0,170000.0,0.0,,,,,,,,,,,,,Em. Individual,,
64,53115.007220/2021-76,MARX BELTRAO,GESAC,2021NE000173,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
65,53115.007220/2021-76,MARX BELTRAO,WifiBrasil,2021NE000174,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
66,01250.050436/2017-17 ,MCOM,GESAC,2021NE000094,34652118.0,0.0,34652118.0,0.0,,,,,,,,,,,,,MCom,,
67,01250.050436/2017-17 ,MCOM,GESAC,2021NE000198,3688000.0,0.0,3688000.0,0.0,,,,,,,,,,,,,MCom,,
68,01250.050436/2017-17 ,MCOM,GESAC,2021NE000227,10000000.0,0.0,10000000.0,0.0,,,,,,,,,,,,,MCom,,
69,53115.016194/2020-96,MCOM,WifiBrasil,2021NE000065,500000.0,0.0,500000.0,0.0,,,,,,,,,,,,,MCom,,
70,01250.050436/2017-17 ,MINISTERIO DAS COMUNICACOES ,GESAC,2021NE000259,324000.0,0.0,324000.0,0.0,,,,,,,,,,,,,MCom,,
71,53115.016194/2020-96,MINISTERIO DAS COMUNICACOES ,WifiBrasil,2021NE000258,176000.0,0.0,176000.0,0.0,,,,,,,,,,,,,MCom,,
72,71000.038976/2019-11,MINISTERIO DA CIDADANIA,GESAC,,600000.0,0.0,600000.0,0.0,,,,,,,,,,,,,TED,,
73,53900.014176/2014-75 ,MINISTERIO DA EDUCACAO,GESAC,2021NE000109,56319000.0,0.0,56319000.0,0.0,,,,,,,,,,,,,TED,,
74,53900.014176/2014-75 ,MINISTERIO DA EDUCACAO,GESAC,2021NE000110,3681000.0,0.0,3681000.0,0.0,,,,,,,,,,,,,TED,,
75,01250.024737/2020-91,MINISTERIO DA JUSTICA,GESAC,2021NE000091,2970000.0,0.0,2970000.0,0.0,,,,,,,,,,,,,TED,,
76,01250.024737/2020-91,MINISTERIO DA JUSTICA,GESAC,2021NE000226,1680000.0,0.0,1680000.0,0.0,,,,,,,,,,,,,TED,,
77,53115.022459/2021-76,MINISTERIO DO MEIO AMBIENTE,GESAC,2021NE000248,107800.0,0.0,107800.0,0.0,,,,,,,,,,,,,TED,,
78,53115.007222/2021-65,PERPETUA ALMEIDA,GESAC,2021NE000195,414000.0,0.0,414000.0,0.0,,,,,,,,,,,,,Em. Individual,,
79,53115.007222/2021-65,PERPETUA ALMEIDA,WifiBrasil,2021NE000196,192996.0,0.0,192996.0,0.0,,,,,,,,,,,,,Em. Individual,,
80,53115.001389/2020-31,POLICIA RODOVIARIA FEDERAL AM,GESAC,2021NE000093,25200.0,0.0,25200.0,0.0,,,,,,,,,,,,,TED,,
81,,POLICIA RODOVIARIA FEDERAL AM,GESAC,2020NE800055,8400.0,0.0,8400.0,0.0,,,,,,,,,,,,,TED,,
82,01250.013622/2020-71,POLICIA RODOVIARIA FEDERAL RO,GESAC,2021NE000095,92800.0,0.0,92800.0,0.0,,,,,,,,,,,,,TED,,
83,01250.013622/2020-71,POLICIA RODOVIARIA FEDERAL RO,GESAC,2021NE000247,46400.0,0.0,46400.0,0.0,,,,,,,,,,,,,TED,,
84,53115.006506/2021-34,ADOR CONFUCIO MOURA,GESAC,2021NE000102,350000.0,0.0,350000.0,0.0,,,,,,,,,,,,,Em. Individual,,
85,53115.006506/2021-34,ADOR CONFUCIO MOURA,GESAC,2021NE000125,700000.0,0.0,700000.0,0.0,,,,,,,,,,,,,Em. Individual,,
86,53115.007228/2021-32,SERGIO PETECAO,GESAC,2021NE000191,284986.0,0.0,284986.0,0.0,,,,,,,,,,,,,Em. Individual,,
87,53115.007228/2021-32,SERGIO PETECAO,WifiBrasil,2021NE000194,132614.0,0.0,132614.0,0.0,,,,,,,,,,,,,Em. Individual,,
88,53115.013564/2021-14,SORAYA THRONICKE,GESAC,2021NE000190,345000.0,0.0,345000.0,0.0,,,,,,,,,,,,,Em. Individual,,
89,53115.013564/2021-14,SORAYA THRONICKE,WifiBrasil,2021NE000193,155000.0,0.0,155000.0,0.0,,,,,,,,,,,,,Em. Individual,,
90,53115.007232/2021-09,ULDURICO JUNIOR,GESAC,2021NE000185,309000.0,0.0,309000.0,0.0,,,,,,,,,,,,,Em. Individual,,
91,53115.007232/2021-09,ULDURICO JUNIOR,WifiBrasil,2021NE000186,141000.0,0.0,141000.0,0.0,,,,,,,,,,,,,Em. Individual,,
92,,BANCADA-DE ALAGOAS,GESAC,01/2021,1801472.7,1935012.7544435707,3250.1275444354396,107.21938709427266,,,,,,,,,,,,,Nota de Crédito,,
93,,BANCADA-DE ALAGOAS,GESAC,02/2021,524400.0,0.0,591340.4420987531,0.0,,,,,,,,,,,,,Nota de Crédito,,
94,,BANCADA-DE ALAGOAS,GESAC,03/2021,5225812.0,0.0,5892894.695661649,0.0,,,,,,,,,,,,,Nota de Crédito,,
95,,BANCADA-DE MINAS GERAIS,GESAC,04/2021,13278264.4,0.0,14973254.654081108,0.0,,,,,,,,,,,,,Nota de Crédito,,
96,,BANCADA-DE SAO PAULO,GESAC,05/2021,1544762.0,0.0,1741953.1731833597,0.0,,,,,,,,,,,,,Nota de Crédito,,
97,,BANCADA-DO ESPIRITO SANTO,GESAC,06/2021,1411014.44,0.0,1591132.537676057,0.0,,,,,,,,,,,,,Nota de Crédito,,
98,,BANCADA-DO ESPIRITO SANTO,GESAC,07/2021,2245000.0,0.0,2531577.5982297873,0.0,,,,,,,,,,,,,Nota de Crédito,,
99,,BANCADA-DO ESPIRITO SANTO,GESAC,08/2021,2752000.0,0.0,3103296.9043778954,0.0,,,,,,,,,,,,,Nota de Crédito,,
100,,BANCADA-DO MARANHAO,GESAC,09/2021,750000.0,0.0,845738.6185622897,0.0,,,,,,,,,,,,,Nota de Crédito,,
101,,BANCADA-DO PARA,GESAC,10/2021,490000.0,0.0,552549.2307940293,0.0,,,,,,,,,,,,,Nota de Crédito,,
102,,BANCADA-DO PARA,GESAC,11/2021,831400.0,0.0,937529.4499635836,0.0,,,,,,,,,,,,,Nota de Crédito,,
103,,CABO JUNIO AMARAL,GESAC,12/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
104,,CELSO SABINO,GESAC,13/2021,97197.71,0.0,109605.14264375741,0.0,,,,,,,,,,,,,Nota de Crédito,,
105,,CORONEL CHRISOSTOMO,GESAC,14/2021,138500.0,0.0,156179.7315611695,0.0,,,,,,,,,,,,,Nota de Crédito,,
106,,DIMAS FABIANO,GESAC,15/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
107,,EDNA HENRIQUE,GESAC,16/2021,208000.0,0.0,234551.51021460837,0.0,,,,,,,,,,,,,Nota de Crédito,,
108,,ELIAS VAZ,GESAC,17/2021,400000.0,0.0,451060.5965665545,0.0,,,,,,,,,,,,,Nota de Crédito,,
109,,EXPEDITO NETTO,GESAC,18/2021,281339.24,0.0,317252.6135799526,0.0,,,,,,,,,,,,,Nota de Crédito,,
110,,FABIO REIS,GESAC,19/2021,81587.97,0.0,92002.79605213538,0.0,,,,,,,,,,,,,Nota de Crédito,,
111,,FLAVIA ARRUDA,GESAC,20/2021,881417.69,0.0,993931.972689286,0.0,,,,,,,,,,,,,Nota de Crédito,,
112,,FLAVIANO MELO,GESAC,21/2021,66000.0,0.0,74424.9984334815,0.0,,,,,,,,,,,,,Nota de Crédito,,
113,,FLAVIANO MELO,GESAC,22/2021,502796.02,0.0,566978.6818312232,0.0,,,,,,,,,,,,,Nota de Crédito,,
