,nc,proponente,programa,empenho,valor_inicial_nc,valor_utilizado,valor_economizado,saldo,consumo_da_nc_%,prop_pk1,prop_pk2
45,46/2021,SORAYA THRONICKE,GESAC,2021NE000190,345000.0,60000.0,30233.99623897575,285000.0,17.391304347826086,,
46,47/2021,ULDURICO JUNIOR,GESAC,2021NE000185,309000.0,40000.0,28287.340851154204,269000.0,12.944983818770226,,
47,,SUBTOTAL,GESAC,,88289733.86,5737129.832879287,8340057.147793084,82552604.02712072,6.498071272903129,,
48,48/2021,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000137,608000.0,110000.0,52535.812938866366,498000.0,18.092105263157894,,
49,49/2021,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000157,175000.0,50000.0,57674.498140595446,125000.0,28.57142857142857,,
50,50/2021,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000210,750000.0,70000.0,12549.322592608856,680000.0,9.333333333333334,,
51,51/2021,BANCADA-DE MINAS GERAIS,WifiBrasil,2021NE000084,5200000.0,620000.0,21435.511770447363,4580000.0,11.923076923076923,,
52,52/2021,BANCADA-DE SAO PAULO,WifiBrasil,2021NE000172,695280.0,560000.0,478533.3794493961,135280.0,80.54309055344609,,
53,53/2021,BANCADA-DO ESPIRITO SANTO,WifiBrasil,2021NE000136,783000.0,80000.0,64631.69559914503,703000.0,10.217113665389528,,
54,54/2021,BANCADA-DO ESPIRITO SANTO,WifiBrasil,2021NE000160,840153.99,80000.0,72844.8951878317,760153.99,9.522063925447762,,
55,55/2021,BANCADA-DO PARA,WifiBrasil,2021NE000135,184000.0,90000.0,78149.67851271064,94000.0,48.91304347826087,,
56,56/2021,BANCADA-DO PARA,WifiBrasil,2021NE000161,312420.0,40000.0,15479.757778030875,272420.0,12.803277639075603,,
57,57/2021,CORONEL CHRISOSTOMO,WifiBrasil,2021NE000133,61500.0,70000.0,25713.924233166126,-8500.0,113.8211382113821,,
58,58/2021,DIMAS FABIANO,WifiBrasil,2021NE000184,93000.0,62119.75806662353,1042.5067505954426,30880.24193337647,66.79543878131562,,
59,59/2021,EDNA HENRIQUE,WifiBrasil,2021NE000131,92000.0,50000.0,5523.774717275242,42000.0,54.347826086956516,,
60,60/2021,FABIO REIS,WifiBrasil,2021NE000086,41880.0,70000.0,3307.310030240196,-28120.0,167.1442215854823,,
61,61/2021,FLAVIA ARRUDA,WifiBrasil,2021NE000168,368544.0,42302.04012732022,645.8818241030039,326241.9598726798,11.478151897011001,,
62,62/2021,GENERAL GIRAO,WifiBrasil,2021NE000140,93000.0,50000.0,33533.97390033949,43000.0,53.76344086021505,,
63,63/2021,JOSE NUNES,WifiBrasil,2021NE000182,93000.0,80000.0,2703.511465760697,13000.0,86.02150537634408,,
64,64/2021,JOSIVALDO JP,WifiBrasil,2021NE000129,48000.0,80000.0,2903.8055868360298,-32000.0,166.66666666666669,,
65,65/2021,JUNIOR LOURENCO,WifiBrasil,2021NE000178,155000.0,40000.0,1654.789392231372,115000.0,25.806451612903224,,
66,66/2021,LEO DE BRITO,WifiBrasil,2021NE000180,170000.0,110000.0,6889.712351455808,60000.0,64.70588235294117,,
67,67/2021,LUCIANO BIVAR,WifiBrasil,2021NE000199,93000.0,40000.0,14157.409927432653,53000.0,43.01075268817204,,
68,68/2021,LUIS TIBE,WifiBrasil,2021NE000170,93000.0,70000.0,3810.4372505875444,23000.0,75.26881720430107,,
69,69/2021,MARA ROCHA,WifiBrasil,2021NE000116,170000.0,93937.19512513802,1619.4975518839,76062.80487486198,55.257173603022366,,
70,70/2021,MARX BELTRAO,WifiBrasil,2021NE000174,93000.0,50000.0,13250.778263681135,43000.0,53.76344086021505,,
71,71/2021,PERPETUA ALMEIDA,WifiBrasil,2021NE000196,192996.0,60000.0,4515.889994374394,132996.0,31.088727227507306,,
72,72/2021,SERGIO PETECAO,WifiBrasil,2021NE000194,132614.0,70000.0,13473.16486386058,62614.0,52.784773854947446,,
73,73/2021,ULDURICO JUNIOR,WifiBrasil,2021NE000186,141000.0,40000.0,10054.977200178757,101000.0,28.368794326241137,,
74,74/2021,SORAYA THRONICKE,WifiBrasil,2021NE000193,155000.0,20000.0,12620.344215093217,135000.0,12.903225806451612,,
75,75/2021,MCOM,WifiBrasil,2021NE000065,500000.0,60000.0,10416.976070390048,440000.0,12.0,,
76,76/2021,CABO JUNIO AMARAL,WifiBrasil,2021NE000123,93000.0,70000.0,44982.50930871404,23000.0,75.26881720430107,,
77,77/2021,LEUR LOMANTO,WifiBrasil,2021NE000100,28000.0,30000.0,6934.680204848938,-2000.0,107.14285714285714,,
78,,SUBTOTAL,WifiBrasil,,12455387.99,2958358.9933190816,1073590.4070726808,9497028.996680917,23.751640620864205,,
79,,TOTAL,,,100745121.85,8695488.82619837,9413647.554865764,92049633.02380164,8.631176047556064,,
80,,NAN,,,,,,,,,
81,,NAN,,,,,,,,,
82,,NAN,,,,,,,,,
83,,NAN,,,,,,,,,
84,,NAN,,,,,,,,,
85,,NAN,,,,,,,,,
86,,NAN,,,,,,,,,
87,,NAN,,,,,,,,,
88,,NAN,,,,,,,,,
89,,NAN,,,,,,,,,
90,,NAN,,,,,,,,,
91,,NAN,,,,,,,,,
92,,NAN,,,,,,,,,
93,,NAN,,,,,,,,,
94,,NAN,,,,,,,,,
95,,NAN,,,,,,,,,
96,,NAN,,,,,,,,,
97,,NAN,,,,,,,,,
98,,NAN,,,,,,,,,
99,,NAN,,,,,,,,,
100,,NAN,,,,,,,,,
101,,NAN,,,,,,,,,
102,,NAN,,,,,,,,,
103,,NAN,,,,,,,,,
104,,NAN,,,,,,,,,
105,,NAN,,,,,,,,,
106,,NAN,,,,,,,,,
107,,NAN,,,,,,,,,
108,,NAN,,,,,,,,,
109,,NAN,,,,,,,,,
110,,NAN,,,,,,,,,
111,,NAN,,,,,,,,,
112,,NAN,,,,,,,,,
113,,NAN,,,,,,,,,
114,,NAN,,,,,,,,,
115,,NAN,,,,,,,,,
116,,NAN,,,,,,,,,
117,,NAN,,,,,,,,,
118,,NAN,,,,,,,,,
119,,NAN,,,,,,,,,
120,,NAN,,,,,,,,,
121,,NAN,,,,,,,,,
122,,NAN,,,,,,,,,
123,,NAN,,,,,,,,,
124,,NAN,,,,,,,,,
125,,NAN,,,,,,,,,
126,,NAN,,,,,,,,,
127,,NAN,,,,,,,,,
128,,NAN,,,,,,,,,
129,,NAN,,,,,,,,,
130,,NAN,,,,,,,,,
131,,NAN,,,,,,,,,
