,prop_pk1,uf,partido,orgao,prop_1,prop_2,prop_3,prop_4,prop_pk2
574,UBIRATAN ANTUNES SANDERSON,RS,PSL,camara,,,,,DEP. UBIRATAN ANTUNES SANDERSON
575,GILSON CARDOSO FAHUR,PR,PSD,camara,,,,,DEP. GILSON CARDOSO FAHUR
576,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,PE,AVANTE,camara,,,,,DEP. SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR
577,SERGIO LUIS LACERDA BRITO,BA,PSD,camara,,,,,DEP. SERGIO LUIS LACERDA BRITO
578,SERGIO DE SOUZA,PR,MDB,camara,,,,,DEP. SERGIO DE SOUZA
579,SERGIO TOLEDO DE ALBUQUERQUE,AL,PL,camara,,,,,DEP. SERGIO TOLEDO DE ALBUQUERQUE
580,SEVERINO DE LIRA PESSOA,AL,REPUBLICANOS,camara,,,,,DEP. SEVERINO DE LIRA PESSOA
581,SHERIDAN ESTERFANY OLIVEIRA,RR,PSDB,camara,,,,,DEP. SHERIDAN ESTERFANY OLIVEIRA
582,SIDNEY RICARDO DE OLIVEIRA LEITE,AM,PSD,camara,,,,,DEP. SIDNEY RICARDO DE OLIVEIRA LEITE
583,SILAS CAMARA,AM,REPUBLICANOS,camara,SILAS CAMARA,,,,DEP. SILAS CAMARA
584,SILVIA CRISTINA AMANCIO CHAGAS,RO,PDT,camara,,,,,DEP. SILVIA CRISTINA AMANCIO CHAGAS
585,SILVIO SERAFIM COSTA FILHO,PE,REPUBLICANOS,camara,,,,,DEP. SILVIO SERAFIM COSTA FILHO
586,SORAYA ALENCAR DOS SANTOS,RJ,PL,camara,,,,,DEP. SORAYA ALENCAR DOS SANTOS
587,SOSTENES SILVA CAVALCANTE,RJ,DEM,camara,,,,,DEP. SOSTENES SILVA CAVALCANTE
588,STEFANO AGUIAR DOS SANTOS,MG,PSD,camara,,,,,DEP. STEFANO AGUIAR DOS SANTOS
589,LUIZ GONZAGA RIBEIRO,MG,PDT,camara,,,,,DEP. LUIZ GONZAGA RIBEIRO
590,TABATA CLAUDIA AMARAL DE PONTES,SP,PSB,camara,,,,,DEP. TABATA CLAUDIA AMARAL DE PONTES
591,FRANCISCO TADEU BARBOSA DE ALENCAR,PE,PSB,camara,,,,,DEP. FRANCISCO TADEU BARBOSA DE ALENCAR
592,TALIRIA PETRONE SOARES,RJ,PSOL,camara,,,,,DEP. TALIRIA PETRONE SOARES
593,JOAO BATISTA CONTI,ES,PSB,camara,,,,,DEP. JOAO BATISTA CONTI
594,TEREZA NELMA DA SILVA PORTO VIANA SOARES,AL,PSDB,camara,,,,,DEP. TEREZA NELMA DA SILVA PORTO VIANA SOARES
595,ERONILDES VASCONCELOS CARVALHO,BA,REPUBLICANOS,camara,,,,,DEP. ERONILDES VASCONCELOS CARVALHO
596,TIAGO DIMAS BRAGA PEREIRA,TO,SOLIDARIEDADE,camara,,,,,DEP. TIAGO DIMAS BRAGA PEREIRA
597,TIAGO LIMA MITRAUD DE CASTRO LEITE,MG,NOVO,camara,,,,,DEP. TIAGO LIMA MITRAUD DE CASTRO LEITE
598,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,SP,PL,camara,,,,,DEP. FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA
599,CARLOS TITO MARQUES CORDEIRO,BA,AVANTE,camara,,,,,DEP. CARLOS TITO MARQUES CORDEIRO
600,ANTONIO WANDSCHEER,PR,PROS,camara,,,,,DEP. ANTONIO WANDSCHEER
601,TULIO GADELHA SALES DE MELO,PE,PDT,camara,,,,,DEP. TULIO GADELHA SALES DE MELO
602,ULDURICO ALENCAR PINTO,BA,PROS,camara,ULDURICO JUNIOR,,,,DEP. ULDURICO ALENCAR PINTO
603,FRANCISCO VAIDON OLIVEIRA,CE,PROS,camara,,,,,DEP. FRANCISCO VAIDON OLIVEIRA
604,JOSE VALDEVAN DE JESUS SANTOS,SE,PL,camara,,,,,DEP. JOSE VALDEVAN DE JESUS SANTOS
605,VALMIR CARLOS DA ASSUNCAO,BA,PT,camara,,,,,DEP. VALMIR CARLOS DA ASSUNCAO
606,VANDER LUIZ DOS SANTOS LOUBET,MS,PT,camara,,,,,DEP. VANDER LUIZ DOS SANTOS LOUBET
607,VANDERLEI MACRIS,SP,PSDB,camara,,,,,DEP. VANDERLEI MACRIS
608,WAGNER BACH MARTINS,PA,REPUBLICANOS,camara,,,,,DEP. WAGNER BACH MARTINS
609,NELSI COGUETTO MARIA,PR,PSD,camara,,,,,DEP. NELSI COGUETTO MARIA
610,VICENTE PAULO DA SILVA,SP,PT,camara,,,,,DEP. VICENTE PAULO DA SILVA
611,VICENTE ALVES DE OLIVEIRA JUNIOR,TO,PL,camara,VICENTINHO JUNIOR,,,,DEP. VICENTE ALVES DE OLIVEIRA JUNIOR
612,VILSON LUIZ DA SILVA,MG,PSB,camara,,,,,DEP. VILSON LUIZ DA SILVA
613,VINICIUS RAPOZO DE CARVALHO,SP,REPUBLICANOS,camara,,,,,DEP. VINICIUS RAPOZO DE CARVALHO
614,VINICIUS LAZZER POIT,SP,NOVO,camara,,,,,DEP. VINICIUS LAZZER POIT
615,VITOR HUGO DE ARAUJO ALMEIDA,GO,PSL,camara,,,,,DEP. VITOR HUGO DE ARAUJO ALMEIDA
616,VITOR LIPPI,SP,PSDB,camara,,,,,DEP. VITOR LIPPI
617,VIVIANE DA COSTA REIS,PA,PSOL,camara,,,,,DEP. VIVIANE DA COSTA REIS
618,WALDENOR ALVES PEREIRA FILHO,BA,PT,camara,,,,,DEP. WALDENOR ALVES PEREIRA FILHO
619,WALTER PEREIRA ALVES,RN,MDB,camara,,,,,DEP. WALTER PEREIRA ALVES
620,WELITON FERNANDES PRADO,MG,PROS,camara,,,,,DEP. WELITON FERNANDES PRADO
621,JOSE WELLINGTON ROBERTO,PB,PL,camara,,,,,DEP. JOSE WELLINGTON ROBERTO
622,JOSE WILSON SANTIAGO,PB,PTB,camara,,,,,DEP. JOSE WILSON SANTIAGO
623,WOLNEY QUEIROZ MACIEL,PE,PDT,camara,,,,,DEP. WOLNEY QUEIROZ MACIEL
624,JOSE CARLOS NUNES JUNIOR,MA,PT,camara,,,,,DEP. JOSE CARLOS NUNES JUNIOR
625,JOSE CERQUEIRA DE SANTANA NETO,BA,PT,camara,,,,,DEP. JOSE CERQUEIRA DE SANTANA NETO
626,JOSE SILVA SOARES,MG,SOLIDARIEDADE,camara,,,,,DEP. JOSE SILVA SOARES
627,JOSE VITOR DE RESENDE AGUIAR,MG,PL,camara,,,,,DEP. JOSE VITOR DE RESENDE AGUIAR
628,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,PR,PT,camara,,,,,DEP. JOSE CARLOS BECKER DE OLIVEIRA E SILVA
629,JOSE LOURENÇO BOMFIM JUNIOR,MA,PL,camara,,,JUNIOR LOURENCO	,,DEP. JOSE LOURENÇO BOMFIM JUNIOR
